Date,Open,High,Low,Close,Volume
2019-03-08,246.830002,249.750000,240.000000,248.600006,18800
2019-03-11,247.220001,256.660004,247.220001,256.010010,33800
2019-03-12,256.109985,259.059998,254.539993,254.910004,32900
2019-03-13,254.610001,259.720001,254.610001,258.019989,22900
2019-03-14,258.440002,258.640015,255.210007,256.239990,17600
2019-03-15,256.359985,259.709991,254.410004,257.750000,45600
2019-03-18,258.220001,261.700012,255.229996,258.540009,32500
2019-03-19,259.790009,261.500000,255.529999,258.959991,32400
2019-03-20,258.720001,262.290009,258.589996,258.589996,30300
2019-03-21,258.309998,266.540009,258.250000,260.649994,32900
2019-03-22,260.070007,263.000000,257.470001,259.250000,26000
2019-03-25,259.269989,264.149994,256.579987,262.970001,21700
2019-03-26,265.000000,282.380005,260.010010,281.010010,60900
2019-03-27,280.000000,280.000000,270.109985,277.660004,62700
2019-03-28,276.829987,286.920013,274.250000,283.970001,42200
2019-03-29,284.910004,293.070007,284.679993,287.829987,46200
2019-04-01,289.339996,289.920013,278.070007,280.799988,65400
2019-04-02,279.720001,283.660004,273.809998,283.660004,42600
2019-04-03,283.559998,292.890015,283.559998,285.790009,52400
2019-04-04,289.290009,294.709991,287.200012,294.670013,43100
2019-04-05,292.500000,299.880005,292.000000,296.799988,66100
2019-04-08,295.839996,297.100006,290.100006,291.220001,47800
2019-04-09,290.549988,294.010010,289.989990,291.619995,50400
2019-04-10,291.170013,299.000000,290.179993,294.700012,60000
2019-04-11,295.399994,297.019989,292.420013,293.660004,36100
2019-04-12,294.709991,296.000000,290.000000,290.510010,37800
2019-04-15,290.510010,299.010010,290.510010,298.149994,34300
2019-04-16,299.320007,302.000000,293.339996,295.670013,39300
2019-04-17,296.250000,297.600006,289.000000,294.730011,39600
2019-04-18,295.029999,302.709991,293.200012,302.089996,34500
2019-04-22,302.149994,308.239990,301.779999,303.980011,49300
2019-04-23,304.670013,310.000000,303.000000,309.390015,40100
2019-04-24,309.309998,324.899994,306.390015,320.399994,54000
2019-04-25,320.160004,334.690002,319.450012,332.500000,50500
2019-04-26,334.000000,342.950012,328.850006,331.570007,56500
2019-04-29,330.329987,339.450012,327.600006,328.000000,42600
2019-04-30,328.290009,329.630005,321.899994,325.029999,62100
2019-05-01,325.529999,331.609985,320.730011,328.209991,70100
2019-05-02,328.529999,334.589996,322.070007,328.500000,44100
2019-05-03,330.000000,336.709991,327.720001,333.899994,73600
2019-05-06,329.130005,339.869995,321.299988,339.290009,49500
2019-05-07,337.260010,346.309998,323.890015,339.589996,108400
2019-05-08,331.109985,367.220001,328.209991,358.649994,114000
2019-05-09,358.279999,371.450012,352.350006,369.529999,83100
2019-05-10,369.880005,390.859985,369.880005,386.809998,112000
2019-05-13,382.230011,404.250000,377.250000,399.859985,103600
2019-05-14,402.179993,413.390015,363.950012,364.500000,210700
2019-05-15,363.000000,363.000000,310.209991,326.220001,248900
2019-05-16,325.510010,350.750000,316.799988,324.940002,200400
2019-05-17,321.690002,338.000000,310.010010,313.049988,230300
2019-05-20,312.000000,314.679993,294.799988,313.890015,176900
2019-05-21,315.500000,323.380005,308.589996,310.549988,122200
2019-05-22,311.790009,320.179993,306.130005,318.730011,79300
2019-05-23,317.899994,319.029999,301.350006,304.399994,123000
2019-05-24,306.359985,311.190002,303.459991,307.339996,66400
2019-05-28,307.040009,314.000000,304.000000,305.660004,89400
2019-05-29,305.000000,308.269989,297.920013,306.200012,59300
2019-05-30,305.989990,312.859985,301.500000,311.730011,63800
2019-05-31,309.619995,309.619995,300.299988,302.010010,61400
2019-06-03,301.899994,304.010010,294.130005,298.459991,75500
2019-06-04,299.000000,300.000000,291.230011,295.989990,85500
2019-06-05,297.579987,312.000000,296.820007,308.790009,83300
2019-06-06,309.880005,314.140015,309.820007,311.049988,33700
2019-06-07,313.929993,317.470001,310.390015,310.529999,40700
2019-06-10,310.799988,314.750000,308.000000,312.429993,54200
2019-06-11,313.720001,324.000000,312.000000,317.589996,56900
2019-06-12,317.589996,321.029999,310.470001,310.850006,37000
2019-06-13,312.320007,318.369995,312.000000,314.130005,35100
2019-06-14,314.899994,318.119995,303.579987,306.980011,57300
